Total,5811293.0,5811096.0,,,,5810989.0,,,5810965.0,,,5788012.0,5806181.0,5784980,,5810956.0,,,,5810963.0,,,,5723574.0,5723577.0,5810958.0,,5810957.0,,,,,,,,5810955.0,,,,,,,,,5810935.0,,,,,,5810954.0,5810933.0,,,,,,,,,,,,5810927.0,,,,5713052.0,,5762334.0
,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2,2,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1600.0,1.0,1.63,1.123,1.5230000000000001,5.0,5.0,4.0,20.482,0.661,3.279,0.1716,4.0,6.889,4.5440000000000005,1.0,2.03,-26.277,-20.963,3.0,2.58,0.0148,0.0,0.1356,0.15823,0.1957,0.3869,5.0,4.0,0.05,0.0,1.5699999999999998,0.1164,0.0,0.0,2.0,1.0,0.0,3.0,3.0,0.0,2.81,0.003,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.28,3.0,3.0,5.3,5.0,2.0,5.3,0.05,0.0,-2.35,0.01,1.0,6.0,0.0,1.3719999999999999,0.129,0.189,1.0,0.1587,0.242
95,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,0.0,2,2,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0
,714.0,1.0,1.7610000000000001,0.881,1.245,3.0,0.0,4.0,19.811,0.653,3.167,0.171,1.0,6.889,4.543,1.0,1.7309999999999999,-18.539,-15.821,2.0,1.7,0.0976,0.0,0.1332,0.84525,0.2022,0.358,2.0,2.0,0.05,0.0,0.82,0.4108,0.0,0.0,2.0,2.0,0.0,3.0,2.0,0.0,3.6879999999999997,0.0,3.0,2.0,0.0,1.0,1.0,0.0,1.0,0.238,4.0,1.0,6.0,1.0,4.0,6.0,0.05,0.0,-1.7730000000000001,0.076,0.0,1.0,0.0,1.341,0.112,0.165,1.0,0.1601,0.056
88,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,0.0,2,2,1.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0
,1173.06,1.0,1.26,1.024,1.43,0.0,4.0,4.0,20.033,0.373,3.027,0.1962,8.0,6.222,12.84,0.0,1.34,-17.318,-12.822,0.0,1.796,0.0806,0.0,0.1422,0.52946,0.3115,0.4771,1.0,0.0,0.05,0.0,2.8449999999999998,0.0044,1.0,1.0,3.0,1.0,0.0,3.0,4.0,0.0,3.66,0.0002,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.059,1.0,3.0,5.8,5.0,0.0,5.8,0.05,0.0,-2.44,0.01468,1.0,7.0,1.0,1.5550000000000002,0.135,0.201,0.77,0.2207,0.242
82,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0,0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0
,909.0,1.0,9.3,-0.001375295,-0.0008577932,1.0,3.0,2.0,19.8957,1.065318,3.414682,0.1767112,3.0,-4.88889,-1.90125,1.0,1.19234,-21.47807,-20.34193,1.0,2.624,0.012,1.0,0.1342,0.34888,0.368236817452,0.515363182548,0.0,2.0,0.05,0.0,2.0,0.0227501,1.0,1.0,3.0,1.0,0.0,1.0,1.0,0.0,2.859897,0.0051134,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.2736613,3.0,4.0,4.8,4.0,2.0,4.8,0.05,1.0,-3.457558,0.001261456,1.0,3.0,0.0,1.475791,0.111576,0.1703912,0.8110753,0.2086612,0.2594207
72,2.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,2.0,3.0,0,0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0
,4356.0,1.0,1.955,1.11,1.65,0.0,3.0,1.0,20.074,1.4729999999999999,3.767,0.0764,3.0,6.89,5.123,1.0,1.5510000000000002,-24.698,-20.362,0.0,2.529,0.017,1.0,0.1959,0.702423,0.1439,0.3396,4.0,4.0,0.05,0.0,2.46,0.0139,1.0,1.0,4.0,2.0,0.0,3.0,1.0,0.0,2.6870000000000003,0.004,2.0,1.0,1.0,2.0,2.0,0.0,1.0,0.162,4.0,3.0,5.9,3.0,0.0,5.9,0.05,0.0,-2.41,0.02,1.0,2.0,0.0,1.645,0.194,0.273,1.03,0.1515,0.464
78,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,2,0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,0.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0
